Name,Platforms,Release Date
Dark Souls Remastered,"PS4, Xbox One, PC",5/25/2018
Detroit: Become Human,PS4,5/25/2018
Agony,"PS4, Xbox One, PC",5/29/2018
Everspace,PS4,5/29/2018
Legend of Kay Anniversary,Switch,5/29/2018
Sega Mega Drive Classics,"PS4, Xbox One",5/29/2018
Street Fighter 30th Anniversary Collection,"PS4, Xbox One, Switch, PC",5/29/2018
BlazBlue: Cross Tag Battle,"PS4, PC, Switch",6/5/2018
The Elder Scrolls Online: Summerset,"PS4, Xbox One, PC",6/5/2018
Onrush,"PS4, Xbox One",6/5/2018
Shaq Fu: A Legend Reborn,"PS4, Xbox One, Switch, PC",6/5/2018
Vampyr,"PS4, Xbox One, PC",6/5/2018
MotoGP 18,"PS4, Xbox One, PC",6/7/2018
Sushi Striker: The Way of Sushido,"Switch, 3DS",6/8/2018
Unravel Two,"PS4, Xbox One, PC",6/9/2018
Fallout Shelter,"PS4, Xbox One, PC, Switch",6/10/2018
Jurassic World Evolution,"PS4, Xbox One, PC",6/12/2018
Fortnite: Battle Royale,Switch,6/12/2018
Hollow Knight,Switch,6/12/2018
Moss - Physical Release,PS4,6/12/2018
Super Bomberman R,"PS4, Xbox One, PC",6/12/2018
LEGO The Incredibles,"Xbox One, PS4, Switch, PC",6/15/2018
The Lost Child,"PS4, PS Vita",6/19/2018
Mario Tennis Aces,Switch,6/22/2018
New Gundam Breaker,"PS4, PC",6/22/2018
The Awesome Adventures of Captain Spirit,"PS4, Xbox One, PC",6/26/2018
Crash Bandicoot N.Sane Trilogy,"Xbox One, PC, Switch",6/26/2018
De Blob Remastered,Switch,6/26/2018
Far Cry 3 Classic Edition,"PS4, Xbox One",6/26/2018
Lumines Remastered,"PS4, Xbox One, PC, Switch",6/26/2018
Nier: Automata Become As Gods Edition,Xbox One,6/26/2018
The Crew 2,"PS4, Xbox One, PC",6/29/2018
MXGP Pro,"PS4, Xbox One, PC",6/29/2018
Wolfenstein II: The New Colossus,Switch,6/29/2018
Jurassic World Evolution - Physical Release,"Xbox One, PS4, PC",7/3/2018
Red Faction: Guerrilla Remastered,"PS4, Xbox One, PC",7/3/2018
Mushroom Wars 2,Switch,7/5/2018
Shining Resonance Refrain,"PS4, Xbox One, PC, Switch",7/10/2018
Captain Toad: Treasure Tracker,"Switch, 3DS",7/13/2018
Earthfall,"PS4, Xbox One, PC",7/13/2018
Octopath Traveler,Switch,7/13/2018
Adventure Time: Pirates of the Enchiridion,"PS4, Xbox One, PC",7/17/2018
Sonic Mania Plus,"PS4, Xbox One, Switch, PC",7/17/2018
Mega Man X Collection 1+2,"PS4, Xbox One, Switch, PC",7/24/2018
No Man's Sky,Xbox One,7/24/2018
The Banner Saga 3,"PS4, Xbox One, Switch, PC, Mac",7/24/2018
Code of Princess EX,Switch,7/31/2018
Yakuza 0,PC,8/1/2018
WarioWare Gold,3DS,8/3/2018
Overcooked 2,"PS4, Xbox One, PC Switch",8/7/2018
Okami HD,Switch,8/9/2018
Madden NFL 19,"PS4, Sbox One, PC",8/10/2018
We Happy Few,"PS4, Xbox One, PC",8/10/2018
Death's Gambit,"PS4, PC",8/10/2018
The Walking Dead: The Final Season Episode 1,"PS4, Xbox One, PC",8/14/2018
World of Warcraft: Battle for Azeroth,PC,8/14/2018
F1 2018,"PS4, Xbox One, PC",8/24/2018
Little Dragons Cafe,"PS4, Switch",8/24/2018
Yakuza Kiwami 2,PS4,8/28/2018
Divinity: Original Sin 2,"PS4, Xbox One",8/31/2018
Naruto to Boruto: Shinobi Striker,"PS4, Xbox One, PC",8/31/2018
Destiny 2 Forsaken DLC,"PS4, Xbox One, PC",9/4/2018
Dragon Quest XI: Echoes of an Elusive Age,PS4,9/4/2018
Immortal: Unchained,"PS4, Xbox One, PC",9/7/2018
NBA Live 19,"PS4, Xbox One",9/7/2018
SNK Heroines: Tag Team Frenzy,"PS4, Switch",9/7/2018
Spider-Man,PS4,9/7/2018
NBA 2K19,"PS4, Xbox One, PC, Switch",9/11/2018
Shadow of the Tomb Raider,"PS4, Xbox One, PC",9/14/2018
Spyro Reignited Trilogy,"PS4, Xbox One",9/21/2018
Xenoblade Chronicles 2: Torna The Golden Country DLC,Switch,9/21/2018
Valkyria Chronicles 4,"PS4, Xbox One, PC, Switch",9/25/2018
Code Vein,"PS4, Xbox One, PC",9/28/2018
FIFA 19,"PS4, PS3, Xbox One, Xbox 360, Switch, PC",9/28/2018
Forza Horizon 4,"Xbox One, PC",10/2/2018
Fist of the North Star: Lost Paradise,PS4,10/2/2018
Mega Man 11,"PS4, Xbox One, Switch, PC",10/2/2018
Assassin's Creed Odyssey,"PS4, Xbox One, PC",10/5/2018
Super Mario Party,Switch,10/5/2018
Disgaea 1 Complete,"PS4, Switch",10/9/2018
WWE 2K19,"PS4, Xbox One, Switch, PC",10/9/2018
Call of Duty: Black Ops 4,"PS4, Xbox One, PC",10/12/2018
Lego DC Super Villains,"PS4, Xbox One, PC, Switch",10/16/2018
Starlink: Battle for Atlas,"PS4, Xbox One, Switch",10/16/2018
Warriors Orochi 4,"PS4, Xbox One, Switch, PC",10/16/2018
Battlefield V,"PS4, Xbox One, PC",10/19/2018
Soulcalibur VI,"PS4, Xbox One, PC",10/19/2018
Just Dance 2019,"PS4, Xbox One, Switch",10/23/2018
Red Dead Redemption 2,"PS4, Xbox One",10/26/2018
Overkill's The Walking Dead,"PS4, Xbox One, PC",11/6/2018
Ride 3,"PS4, Xbox One, PC",11/8/2018
Hitman 2,"PS4, Xbox One, PC",11/13/2018
Fallout 76,"PS4, Xbox One, PC",11/14/2018
Pokemon - Let's Go Pikachu,Switch,11/16/2018
Pokemon - Let's Go Eevee,Switch,11/16/2018
Just Cause 4,"PS4, Xbox One, PC",12/4/2018
Super Smash Bros. Ultimate,Switch,12/7/2018
